source,text,label
oman_IT_tenderboard,الاستفادة من خدمات الأقمار ا.....,1
oman_IT_tenderboard,شراء رخص لبرنامج اوتكاد,1
oman_IT_tenderboard,خدمات تقييم الأمن السيبراني,1
oman_IT_tenderboard,بوابة أمان البريد الإلكترون.....,1
oman_IT_tenderboard,تجديد تراخيص برامج أدوبي كري.....,1
oman_IT_tenderboard,توريد وتركيب جهاز التخزين ال.....,1
oman_IT_tenderboard,تطوير منصة توظيف مدعومة بالذ.....,1
oman_IT_tenderboard,تعزيز البنية الاتصالية لهوات.....,1
oman_IT_tenderboard,تجديد تراخيص الاجهزة الامنية.....,1
oman_IT_tenderboard,استكمال تطوير الشبكات الداخل.....,1
oman_IT_tenderboard,تجديد الدعم والمساندة ألجهزة.....,1
oman_IT_tenderboard,صيانة البنية الاساسية الخارج.....,1
oman_IT_tenderboard,توفير البرامج و التطبيقات ال.....,1
oman_IT_tenderboard,توفير المساعد الذكي لتحليل ا.....,1
oman_IT_tenderboard,طلب تقديم عرض للنظام إدارة ا.....,1
oman_IT_tenderboard,إدارة الأجهزة المحمولة,1
oman_IT_tenderboard,مشروع خدمة الإنترنت لجامعة ا.....,1
oman_IT_tenderboard,تجديد تراخيص مايكروسوفت,1
oman_IT_tenderboard,تطوير نظام الحضور والانصراف .....,1
oman_IT_tenderboard,تجديد رخص نظام المستندات و ا.....,1
oman_IT_tenderboard,تجديد رخص وصيانة أجهزة وأنظم.....,1
oman_IT_tenderboard,مشروع النظام المتكامل لمكننة.....,1
oman_IT_tenderboard,توريد رخص البرامج التعليمية .....,1
oman_IT_tenderboard,شراء وتوريد وتركيب وتشغيل نظ.....,1
oman_IT_tenderboard,تحسينات تقنية و فنية على نظا.....,1
oman_IT_tenderboard,تطوير البنية التحتية للكلية .....,1
oman_IT_tenderboard,تقديم خدمات الاستجابة للحواد.....,1
oman_IT_tenderboard,تصميم واخراج,1
oman_IT_tenderboard,توريد و تنفيذ و تهيئة نظام .....,1
oman_IT_tenderboard,ترقية خادم قاعدة البيانات ال.....,1
oman_IT_tenderboard,اضافة نقاط الشبكة في مبنى ال.....,1
oman_IT_tenderboard,التعاقد لصيانة ودعم مركز بيا.....,1
oman_IT_tenderboard,خدمات لتقنية حلول ودعم مايكر.....,1
oman_IT_tenderboard,عقد صيانه مركز البيانات لفرع.....,1
oman_IT_tenderboard,الدعم الفني لبطاقات الموظفين,1
oman_IT_tenderboard,تركيب نظام رصد تسربات المياه.....,1
oman_IT_tenderboard,برامج التصميم والمونتاج,1
manual_tech,Supply of desktop computers,1
manual_tech,Supply and installation of computer servers,1
manual_tech,Purchase of laptops and workstations,1
manual_tech,Supply of computer hardware and accessories,1
manual_tech,Procurement of servers and network equipment,1
bahrain,Procurement of an Executive Vehicle,0
bahrain,"Comprehensive landscaping, softscape, & Irrigation Maintenance Services across seven designated locations",0
bahrain,UOB/Auction-2/2026Auction for Graduation Ceremony Photography Service at University of Bahrain and Mohammed Jaber Al-Ansari College,0
bahrain,Providing Security Guards for 2 years for SIO,0
bahrain,IN/Bahrain Bourse/2026/2PR Agency for public relations retainer,0
bahrain,IN/NAM/01/2026lease two pickup car for 45 months,0
bahrain,Waste Management Services,0
bahrain,Professional Set Up of Pyrotechnics,0
bahrain,Procurement of Portable Continuous Gas Monitors (T&I 2026),0
bahrain,Providing security guard to secure a property belonging to the Constitutional Court.,0
bahrain,Procurement of Fume Extraction Systems,0
bahrain,Procurement of Condenser Tube Nylon Ferrules for 4ACDU & 5CDU T&I 2026,0
bahrain,"Procurement of Plates, Bars & Rods for 1H2 T&I 2026",0
bahrain,Laundry Services,0
bahrain,Firefighting Systems,0
bahrain,Oversize door AMC,0
bahrain,Landscaping Services,0
bahrain,Procurement of Stainless Steel lining Panels for #2TGTU T&I Columns and Vessels,0
qatar_finance,"?????, ?????, ?????, ??????, ?????? ???? ????? ??????? ????? ?????",0
qatar_finance,???? ???? ???? ???????? ?? ????? ????? ?????? ?????? (??? ??? ?????) ? ????? ?? ????????? ? ????? ?????? ???? ?????? ?????????? ???: Procurement-af@sc.qa,0
qatar_finance,????? ??????? ????? ????? ??????? ???????? ???????? ?????? ???? ??????? - ????? (??? ????? ??? ??????) ???? (3) ?????,0
qatar_finance,????? ??????? ??????? ?????????? ???????? ?????? ??????? ??????? ???????? ???????? ??? ?????????? ???????? ?????????? ???????? ???? ???? ????? ????? ????? ?????? ??????,0
qatar_finance,???? ?????? ??????? ?????? ???? ????? ????? ????? ??????? ????????? ? ? ? / ? / 2026/10788,0
qatar_finance,????? ?????????? ???????? ?????? ????? ?????? ???????? - ???? ????????? ???????? - LTC - 2442/2026 - ????? ???????,0
qatar_finance,"?????,?????,????? ?????? ????? ???? ??????? ????? ????? ??????? ?? ????? ??????? ????????",0
qatar_finance,????? ?????? ????? ?????? ???????? ???? ???? ?????,0
qatar_finance,"????? ????? ????? ""??? ????"" ??????? ???????",0
qatar_finance,????? ????? ??????? ???????? ????? ???? ??????????? ???????? - ??? (???),0
qatar_finance,????? ????? ?????? ?????? ??? ?????? ??????? ?????? ????? ?? ??? ???? ??????? ????? (3 ?????),0
qatar_finance,"????? ?????? ???????, ????? ????????, ???? ??????????, ?????? ??????? ?? ??????? ???????? ?? ?????????",0
qatar_finance,??? ????? ???? ??? ????? (3) ????? GE LOGIQ P9 Ultrasound Scanner ?? ????? ????? ??????? ?????? ??????? ???? ???? (3) ????? PHCC/TAC/73/2026,0
qatar_finance,????? ???????? ??????? ??????????? ?? ???? ????? ???????? ??? ????? ?????? ?????? ?????? ???? GTC 1308/2026 ????? ?????? ????????,0
qatar_finance,????? ????? ????? ?????? ?????? ????? ????? ?????? ????? ??????? ?????? ??????? ???????? ???? ??? ???? (1) PHCC/TAC/65/2026,0
qatar_finance,????? ?????? ????? ??????? ????? ??????? ?????? ?????? ???,0
qatar_finance,????? ????? ??????? ??????? ??????? ??????? ?????? ?????? ???????,0
uae_mof,???? ????? ??? 1,0
uae_mof,Operation and Management of MOE Onsite Nursery,0
uae_mof,????? ????? ??????? ???????,0
uae_mof,????? ????? ???????? ????????? ???????? (?????????)+(????????),0
uae_mof,UN Tourism Council [Salah ?Government Communication Dept ? Skalabri@moet.gov.ae ? 026131145],0
uae_mof,"Social Media Management, Digital Media Production Services",0
uae_mof,(UPS) ??????????? ??????? ? ????? ????? ?????? ??? ????????,0
uae_mof,Classroom Assistants project,0
uae_mof,????? ????? ????? ?????? ? ????? ??????? ???????,0
uae_mof,????? ????? ????? ???? ??? ????? ???????,0
manual_tech,Website maintenance and technical support services,1
manual_tech,Maintenance and support of government websites and web applications,1
manual_tech,Digital forensic investigation equipment and workstation,1
manual_tech,Supply of digital forensics laboratory equipment,1
manual_tech,Information systems consulting and advisory services,1
manual_tech,Consultancy services for enterprise information systems,1
manual_tech,Procurement of laptops desktop computers and workstations,1
manual_tech,Supply of laptops computers and IT workstations,1
manual_tech,Maintenance and technical support of IT systems and software,1
manual_tech,IT systems operation maintenance and application support,1
manual_tech,Development and support of electronic services application,1
manual_tech,Implementation of digital electronic services portal,1
manual_tech,Design and development of an online digital platform,1
manual_tech,Development implementation and maintenance of electronic platform,1
manual_tech,Cloud IP telephony and VoIP communication solution,1
manual_tech,Supply and implementation of cloud telephone and VoIP services,1
manual_tech,????? ???? ??????? ??????????? ??????????,1
manual_tech,????? ????? ?????? ??? ?????? ???????? ???????,1
manual_tech,????? ???????? ?? ??? ?????? ?????????,1
manual_tech,????? ????? ???? ?????? ?????? ???,1
manual_tech,????? ???? ????? ????? ????????? ??????????,1
manual_tech,????? ?????? ????? ????????? ???????? ?????,1
manual_tech,????? ?????? ???? ????????? ?????,1
manual_tech,???? ????????? ???????? ???????? ?????? VoIP,1
manual_nontech,Provision of public transportation services,0
manual_nontech,Transportation services contract for employees,0
manual_nontech,Waste collection and disposal services,0
manual_nontech,Municipal waste management and cleaning services,0
manual_nontech,Organization of national day celebration and employee event,0
manual_nontech,Event management and ceremony organization services,0
